Zip,NA,$,$$,$$$,$$$$,Total,Mean Rating,Median Income,Mean Income,Population Size,lat,lng
97005,8.0,4.0,9.0,0.0,0.0,21.0,4.299999999999999,45265,56202.0,23741,45.490959000000004,-122.80358600000001
97006,3.0,1.0,4.0,0.0,0.0,8.0,4.275,60472,70570.0,50792,45.517009,-122.85981699999999
97007,3.0,0.0,0.0,0.0,0.0,3.0,4.1000000000000005,71418,83552.0,56025,45.454271000000006,-122.87961899999999
97008,1.0,0.0,2.0,0.0,0.0,3.0,4.3999999999999995,51435,66968.0,27763,45.460190000000004,-122.804198
97015,1.0,1.0,1.0,0.0,0.0,3.0,3.6666666666666665,56719,66456.0,17171,45.413524,-122.536758
97030,0.0,1.0,0.0,0.0,0.0,1.0,3.2,45355,54363.0,31968,45.509203,-122.43346799999999
97051,0.0,0.0,1.0,0.0,0.0,1.0,4.5,52629,58028.0,12903,45.875701,-122.94900600000001
97080,1.0,0.0,0.0,0.0,0.0,1.0,4.6,62760,72111.0,33590,45.478314000000005,-122.390727
97086,0.0,0.0,2.0,0.0,0.0,2.0,4.05,76046,93289.0,17089,45.445048,-122.528173
97123,1.0,0.0,0.0,0.0,0.0,1.0,4.6,58285,67315.0,36211,45.440165,-122.98008300000001
97124,2.0,0.0,5.0,0.0,0.0,7.0,4.214285714285714,63323,75211.0,38290,45.569078999999995,-122.946701
97201,3.0,0.0,6.0,0.0,0.0,9.0,4.344444444444445,51690,81269.0,12340,45.507856,-122.690794
97202,3.0,1.0,3.0,0.0,0.0,7.0,4.357142857142857,52560,66785.0,37097,45.482541,-122.64393500000001
97203,3.0,0.0,0.0,0.0,0.0,3.0,4.1000000000000005,43918,53190.0,27612,45.603549,-122.737905
97204,2.0,0.0,3.0,0.0,0.0,5.0,4.26,13283,24949.0,1319,45.518371,-122.673946
97205,2.0,3.0,5.0,1.0,0.0,11.0,3.9090909090909083,40051,58869.0,6682,45.520562,-122.71023100000001
97206,1.0,0.0,2.0,0.0,0.0,3.0,4.466666666666667,48476,55472.0,45454,45.482433,-122.598605
97209,3.0,2.0,3.0,0.0,0.0,8.0,4.0875,34518,61098.0,8395,45.531124,-122.68395100000001
97210,1.0,0.0,2.0,0.0,0.0,3.0,4.266666666666667,61296,90869.0,9915,45.544163,-122.726626
97211,2.0,0.0,4.0,0.0,0.0,6.0,4.366666666666666,55037,66701.0,30688,45.581132000000004,-122.637305
97212,5.0,0.0,1.0,0.0,0.0,6.0,4.416666666666667,76462,94074.0,23200,45.544236,-122.643468
97213,1.0,1.0,1.0,0.0,0.0,3.0,4.333333333333333,59038,70226.0,29007,45.538194,-122.60001399999999
97214,7.0,2.0,6.0,0.0,1.0,16.0,4.34375,48004,62390.0,22668,45.514672,-122.643014
97215,2.0,0.0,0.0,0.0,0.0,2.0,4.800000000000001,56872,70607.0,16612,45.515121,-122.600627
97216,2.0,0.0,1.0,0.0,0.0,3.0,4.2,43896,50449.0,13563,45.513887,-122.558403
97217,3.0,1.0,1.0,0.0,0.0,5.0,4.34,48622,59065.0,30072,45.601815,-122.70079799999999
97218,1.0,0.0,1.0,0.0,0.0,2.0,3.8,43637,55128.0,14214,45.576236,-122.60087299999999
97219,1.0,0.0,2.0,0.0,0.0,3.0,4.433333333333334,78979,105280.0,37062,45.454231,-122.698526
97220,0.0,0.0,1.0,0.0,0.0,1.0,3.2,43212,53688.0,27422,45.550024,-122.559297
97222,0.0,0.0,1.0,0.0,0.0,1.0,4.6,48574,56529.0,35086,45.440948999999996,-122.61811100000001
97223,0.0,3.0,1.0,0.0,0.0,4.0,3.7250000000000005,66010,80265.0,42891,45.440290000000005,-122.776604
97224,1.0,0.0,1.0,0.0,0.0,2.0,3.95,64849,80241.0,26168,45.405501,-122.795056
97225,2.0,1.0,3.0,0.0,0.0,6.0,4.333333333333333,68803,94201.0,21781,45.502846999999996,-122.77021200000001
97227,0.0,1.0,1.0,0.0,0.0,2.0,4.35,43203,58729.0,3633,45.543386,-122.6781
97229,4.0,0.0,2.0,0.0,0.0,6.0,4.433333333333334,98462,117097.0,43345,45.551031,-122.809275
97230,3.0,1.0,1.0,0.0,0.0,5.0,4.32,44091,55734.0,35943,45.557757,-122.50526799999999
97232,1.0,3.0,3.0,0.0,0.0,7.0,3.871428571428571,55155,77891.0,10676,45.528929,-122.643927
97236,2.0,0.0,0.0,0.0,0.0,2.0,3.75,47870,55407.0,27705,45.483213,-122.51051499999998
97239,2.0,0.0,0.0,0.0,0.0,2.0,4.8,72974,103000.0,12213,45.489938,-122.690453
97266,5.0,0.0,2.0,0.0,0.0,7.0,4.242857142857143,41274,48310.0,28254,45.482966999999995,-122.55761899999999
